snapshot,10,00:51:37,0:00:00.130538
create,10,00:51:37,0:00:00.117840
save,10,00:51:37,0:00:00.121731
persist,10,00:51:37,0:00:00.098817
apply,10,00:51:37,0:00:00.230820
apply1,10,00:51:37,0:00:00.140479
v.apply,10,00:51:42,0:00:00.162400
snapshot,100,00:55:42,0:00:00.121781
create,100,00:55:42,0:00:00.144196
save,100,00:55:42,0:00:00.124857
persist,100,00:55:42,0:00:00.109121
apply,100,00:55:42,0:00:01.051770
apply1,100,00:55:42,0:00:00.136407
v.apply,100,00:55:48,0:00:00.173097
snapshot,1000,00:59:50,0:00:00.120522
create,1000,00:59:50,0:00:00.239126
save,1000,00:59:50,0:00:00.258038
persist,1000,00:59:50,0:00:00.125805
apply,1000,00:59:50,0:00:09.200531
apply1,1000,00:59:50,0:00:00.135699
v.apply,1000,01:00:04,0:00:00.175719
snapshot,10000,01:04:07,0:00:00.133886
create,10000,01:04:07,0:00:01.023958
save,10000,01:04:07,0:00:01.267106
persist,10000,01:04:07,0:00:00.729627
apply,10000,01:04:07,0:01:18.550721
apply1,10000,01:04:07,0:00:00.140513
v.apply,10000,01:05:35,0:00:00.277095
snapshot,100000,01:09:37,0:00:00.123120
create,100000,01:09:37,0:00:08.720875
save,100000,01:09:37,0:00:10.743385
persist,100000,01:09:37,0:00:10.527981
apply,100000,01:09:37,0:13:57.137323
apply1,100000,01:09:37,0:00:00.131499
v.apply,100000,01:24:22,0:00:01.134411
snapshot,1000000,01:28:32,0:00:00.123166
create,1000000,01:28:32,0:01:27.296320
save,1000000,01:28:32,0:01:44.474751
persist,1000000,01:28:32,0:02:00.541242
apply,1000000,01:28:32,2:18:18.508141
apply1,1000000,01:28:32,0:00:00.142654
