Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
261, 1513593911,       4742
262, 1513593912,       2090
263, 1513593913,       2052
264, 1513593914,       4519
265, 1513593915,       3617
266, 1513593916,       4177
267, 1513593917,       2959
268, 1513593918,       1686
269, 1513593919,       1034
270, 1513593920,       3341
271, 1513593921,       4263
272, 1513593922,       3043
273, 1513593923,        716
274, 1513593924,       3228
275, 1513593925,       4987
276, 1513593926,       4225
277, 1513593927,       2717
278, 1513593928,        534
279, 1513593929,       1742
280, 1513593930,       4670
281, 1513593931,       4583
282, 1513593932,       2556
283, 1513593933,       2467
284, 1513593934,       5445
285, 1513593935,       2928
286, 1513593936,       5232
287, 1513593937,       2694
288, 1513593938,       2102
289, 1513593939,       1458
290, 1513593940,       5029
291, 1513593941,       4508
292, 1513593942,       2545
293, 1513593943,       2659
294, 1513593944,       4344
295, 1513593945,       3655
296, 1513593946,       4339
297, 1513593947,       3123
298, 1513593948,       1565
299, 1513593949,        913
300, 1513593950,       3225
301, 1513593951,       4159
302, 1513593952,       2582
303, 1513593953,        860
304, 1513593954,       4569
305, 1513593955,       3688
306, 1513593956,       3647
307, 1513593957,       3101
308, 1513593958,       2056
309, 1513593959,        703
310, 1513593960,       4058
311, 1513593961,       4263
312, 1513593962,       2645
313, 1513593963,       1401
314, 1513593964,       4621
315, 1513593965,       3901
316, 1513593966,       4596
317, 1513593967,       2861
318, 1513593968,       3184
319, 1513593969,        790
320, 1513593970,       3407
321, 1513593971,       4223
322, 1513593972,       2495
323, 1513593973,       1881
324, 1513593974,       5815
325, 1513593975,       4281
326, 1513593976,       3036
327, 1513593977,       2847
328, 1513593978,       2120
329, 1513593979,       1018
330, 1513593980,       3168
331, 1513593981,       4474
332, 1513593982,       2510
333, 1513593983,       1225
334, 1513593984,       5224
335, 1513593985,       3739
336, 1513593986,       3943
337, 1513593987,       2793
338, 1513593988,       1898
339, 1513593989,        872
340, 1513593990,       1807
341, 1513593991,       5028
342, 1513593992,       2703
343, 1513593993,        731
344, 1513593994,       4639
345, 1513593995,       4706
346, 1513593996,       4804
347, 1513593997,       2014
348, 1513593998,       1434
349, 1513593999,        479
350, 1513594000,       2932
351, 1513594001,       5234
352, 1513594002,       2748
353, 1513594003,        398
354, 1513594004,       4988
355, 1513594005,       4254
356, 1513594006,       3089
357, 1513594007,       3111
358, 1513594008,       1670
359, 1513594009,        591
360, 1513594010,       4093
361, 1513594011,       4470
362, 1513594012,       2885
363, 1513594013,        648
364, 1513594014,       4430
365, 1513594015,       4333
366, 1513594016,       4214
367, 1513594017,       2595
368, 1513594018,       1311
369, 1513594019,        464
370, 1513594020,       1320
371, 1513594021,       4812
372, 1513594022,       2547
373, 1513594023,        268
374, 1513594024,       4556
375, 1513594025,       4807
376, 1513594026,       3706
377, 1513594027,       2159
378, 1513594028,       1711
379, 1513594029,        451
380, 1513594030,       1357
381, 1513594031,       5029
382, 1513594032,       2223
383, 1513594033,        423
384, 1513594034,       4581
385, 1513594035,       3520
386, 1513594036,       3668
387, 1513594037,       2254
388, 1513594038,        800
389, 1513594039,        524
390, 1513594040,       1622
391, 1513594041,       4826
392, 1513594042,       2747
393, 1513594043,        596
394, 1513594044,       4721
395, 1513594045,       4484
396, 1513594046,       3178
397, 1513594047,       2665
398, 1513594048,       1366
399, 1513594049,        657
400, 1513594050,       2868
401, 1513594051,       4804
402, 1513594052,       3205
403, 1513594053,        377
404, 1513594054,       4433
405, 1513594055,       5505
406, 1513594056,       2821
407, 1513594057,       2771
408, 1513594058,       1038
409, 1513594059,        468
410, 1513594060,       1718
411, 1513594061,       5626
412, 1513594062,       2339
413, 1513594063,        232
414, 1513594064,       4060
415, 1513594065,       3796
416, 1513594066,       3910
417, 1513594067,       3093
418, 1513594068,        655
419, 1513594069,       1312
420, 1513594070,       5180
421, 1513594071,       4219
422, 1513594072,       2905
423, 1513594073,        429
424, 1513594074,       4634
425, 1513594075,       4401
426, 1513594076,       4873
427, 1513594077,       2666
428, 1513594078,        618
429, 1513594079,       1156
430, 1513594080,       4710
431, 1513594081,       2620
432, 1513594082,        395
433, 1513594083,       4478
434, 1513594084,       4718
435, 1513594085,       5086
436, 1513594086,       1975
437, 1513594087,       3018
438, 1513594088,        872
439, 1513594089,       1398
440, 1513594090,       3663
441, 1513594091,       2473
442, 1513594092,        701
443, 1513594093,       4258
444, 1513594094,       6390
445, 1513594095,       5890
446, 1513594096,       3130
447, 1513594097,       3885
448, 1513594098,       4748
449, 1513594099,       2233
450, 1513594100,       1595
451, 1513594101,       1551
452, 1513594102,        692
453, 1513594103,       1303
454, 1513594104,        713
455, 1513594105,       2102
456, 1513594106,       1910
457, 1513594107,        330
458, 1513594108,       3490
459, 1513594109,       4392
460, 1513594110,       4618
461, 1513594111,       2402
462, 1513594112,        579
463, 1513594113,        524
464, 1513594114,       2539
465, 1513594115,       4755
466, 1513594116,       2596
467, 1513594117,        132
468, 1513594118,       3144
469, 1513594119,       5515
470, 1513594120,       2941
471, 1513594121,       2348
472, 1513594122,       1680
473, 1513594123,        161
474, 1513594124,       1350
475, 1513594125,       4833
476, 1513594126,       2320
477, 1513594127,        341
478, 1513594128,       3336
479, 1513594129,       4427
480, 1513594130,       3484
481, 1513594131,       2783
482, 1513594132,       2456
483, 1513594133,        286
484, 1513594134,       1143
485, 1513594135,       4210
486, 1513594136,       2266
487, 1513594137,        316
488, 1513594138,       2980
489, 1513594139,       4510
490, 1513594140,       3335
491, 1513594141,       2747
492, 1513594142,        237
493, 1513594143,       1310
494, 1513594144,       3150
495, 1513594145,       4463
496, 1513594146,       2377
497, 1513594147,         82
498, 1513594148,       3068
499, 1513594149,       3939
500, 1513594150,       4082
501, 1513594151,       2586
502, 1513594152,        767
503, 1513594153,        200
504, 1513594154,       1200
505, 1513594155,       5626
506, 1513594156,       1936
507, 1513594157,        189
508, 1513594158,       2647
509, 1513594159,       4067
510, 1513594160,       3844
511, 1513594161,       2438
512, 1513594162,        895
513, 1513594163,        122
514, 1513594164,       1104
515, 1513594165,       5019
516, 1513594166,       2082
517, 1513594167,        168
518, 1513594168,       2709
519, 1513594169,       3780
520, 1513594170,       5354
521, 1513594171,       1546
522, 1513594172,       1513
523, 1513594173,        156
524, 1513594174,       2531
525, 1513594175,       4998
526, 1513594176,       2131
527, 1513594177,        308
528, 1513594178,       4793
529, 1513594179,       4641
530, 1513594180,       3169
531, 1513594181,       3471
532, 1513594182,       1842
533, 1513594183,        517
534, 1513594184,       1249
535, 1513594185,       4003
536, 1513594186,       2618
537, 1513594187,        446
538, 1513594188,       3488
539, 1513594189,       5145
540, 1513594190,       2867
541, 1513594191,       2585
542, 1513594192,       1544
543, 1513594193,        192
544, 1513594194,       2904
545, 1513594195,       4813
546, 1513594196,       2936
547, 1513594197,        332
548, 1513594198,       2398
