2017-12-18 17:50:34  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (21 < min 30)
2017-12-18 17:50:34  /entrypoint.sh: static: does not generate the admin key, so we can not get it.
2017-12-18 17:50:34  /entrypoint.sh: static: make it available with the help of your configuration management system.
2017-12-18 17:50:34  /entrypoint.sh: static: ceph-ansible is a good candidate to deploy a containerized version of Ceph.
2017-12-18 17:50:34  /entrypoint.sh: static: ceph-ansible will help you fetching the keys and push them on the right nodes.
2017-12-18 17:50:34  /entrypoint.sh: static: if you're interested, please visit: https://github.com/ceph/ceph-ansible
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-12-18 17:50:37  /entrypoint.sh: SUCCESS
2017-12-18 17:50:37.129737 7f64e0981300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-12-18 17:50:37.129758 7f64e0981300  0 ceph version 9.0.0-18997-g8adf01b (8adf01b98af39502aa7fe3d10c4b19935508eaa7), process ceph-mds, pid 236
starting mds.node-4 at -
2017-12-18 17:50:37.130916 7f64e0981300  0 pidfile_write: ignore empty --pid-file
2017-12-18 17:50:41.266415 7f64d937d700  0 mds.0.cache creating system inode with ino:1
2017-12-18 17:50:41.266751 7f64d937d700  0 mds.0.cache creating system inode with ino:100
2017-12-18 17:50:41.266764 7f64d937d700  0 mds.0.cache creating system inode with ino:600
2017-12-18 17:50:41.266942 7f64d937d700  0 mds.0.cache creating system inode with ino:601
2017-12-18 17:50:41.267056 7f64d937d700  0 mds.0.cache creating system inode with ino:602
2017-12-18 17:50:41.267326 7f64d937d700  0 mds.0.cache creating system inode with ino:603
2017-12-18 17:50:41.267456 7f64d937d700  0 mds.0.cache creating system inode with ino:604
2017-12-18 17:50:41.267606 7f64d937d700  0 mds.0.cache creating system inode with ino:605
2017-12-18 17:50:41.267707 7f64d937d700  0 mds.0.cache creating system inode with ino:606
2017-12-18 17:50:41.267793 7f64d937d700  0 mds.0.cache creating system inode with ino:607
2017-12-18 17:50:41.267884 7f64d937d700  0 mds.0.cache creating system inode with ino:608
2017-12-18 17:50:41.268005 7f64d937d700  0 mds.0.cache creating system inode with ino:609
2017-12-18 17:51:29.390752 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db4800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.390830 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dd4000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.391387 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.395309 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da8800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.418364 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da7000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.434646 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da5800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.438414 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dd4000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.447991 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.463500 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da8800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.470068 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da7000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:29.642394 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dba800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:43.491269 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dd4000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:43.532059 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:43.564490 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da8800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:43.619289 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da7000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.391856 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db9000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.392127 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db7800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.398695 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dd4000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.410878 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db9000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.419446 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.439830 7f64db2fe700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da8800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.439880 7f64dbaff700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9da7000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.449213 7f64dbaff700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9dd4000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 17:51:44.471325 7f64dbaff700  0 -- 10.10.1.5:6800/4087520657 >> - conn(0x7f64e9db9000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
