2017-12-19 00:03:29  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (21 < min 30)
2017-12-19 00:03:29  /entrypoint.sh: static: does not generate the admin key, so we can not get it.
2017-12-19 00:03:29  /entrypoint.sh: static: make it available with the help of your configuration management system.
2017-12-19 00:03:29  /entrypoint.sh: static: ceph-ansible is a good candidate to deploy a containerized version of Ceph.
2017-12-19 00:03:29  /entrypoint.sh: static: ceph-ansible will help you fetching the keys and push them on the right nodes.
2017-12-19 00:03:29  /entrypoint.sh: static: if you're interested, please visit: https://github.com/ceph/ceph-ansible
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-12-19 00:03:31  /entrypoint.sh: SUCCESS
2017-12-19 00:03:31.918223 7fb488522300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-12-19 00:03:31.918244 7fb488522300  0 ceph version 9.0.0-18997-g8adf01b (8adf01b98af39502aa7fe3d10c4b19935508eaa7), process ceph-mds, pid 236
starting mds.node-4 at -
2017-12-19 00:03:31.919418 7fb488522300  0 pidfile_write: ignore empty --pid-file
2017-12-19 00:03:35.973075 7fb4836a0700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff6800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:35.975847 7fb4836a0700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff5000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:35.980516 7fb4836a0700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe4800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:35.996444 7fb4836a0700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:36.030326 7fb4836a0700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe1800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:36.076789 7fb480f1e700  0 mds.0.cache creating system inode with ino:1
2017-12-19 00:03:36.077237 7fb480f1e700  0 mds.0.cache creating system inode with ino:100
2017-12-19 00:03:36.077250 7fb480f1e700  0 mds.0.cache creating system inode with ino:600
2017-12-19 00:03:36.077399 7fb480f1e700  0 mds.0.cache creating system inode with ino:601
2017-12-19 00:03:36.077502 7fb480f1e700  0 mds.0.cache creating system inode with ino:602
2017-12-19 00:03:36.077649 7fb480f1e700  0 mds.0.cache creating system inode with ino:603
2017-12-19 00:03:36.077738 7fb480f1e700  0 mds.0.cache creating system inode with ino:604
2017-12-19 00:03:36.077867 7fb480f1e700  0 mds.0.cache creating system inode with ino:605
2017-12-19 00:03:36.077970 7fb480f1e700  0 mds.0.cache creating system inode with ino:606
2017-12-19 00:03:36.078058 7fb480f1e700  0 mds.0.cache creating system inode with ino:607
2017-12-19 00:03:36.078136 7fb480f1e700  0 mds.0.cache creating system inode with ino:608
2017-12-19 00:03:36.078229 7fb480f1e700  0 mds.0.cache creating system inode with ino:609
2017-12-19 00:03:36.082340 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff6800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:36.144630 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff5000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:36.181582 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe4800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:42.211148 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.668535 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff3800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.669190 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff6800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.669696 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff5000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.673474 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff3800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.674953 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe4800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.689428 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe3000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.690395 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff6800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.700837 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff5000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.706557 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff3800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.721024 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492fe4800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.791877 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff2000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.792047 7fb483ea1700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb49304a800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-19 00:03:50.796608 7fb482e9f700  0 -- 10.10.1.5:6800/1489024575 >> - conn(0x7fb492ff6800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
