Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
275, 1513593926,         17
276, 1513593927,      10247
277, 1513593928,     155423
278, 1513593929,          9
279, 1513593930,         12
280, 1513593931,         53
281, 1513593932,          9
282, 1513593933,       2930
283, 1513593934,        269
284, 1513593935,          7
285, 1513593936,         48
286, 1513593937,       2248
287, 1513593938,     134382
288, 1513593939,         13
289, 1513593940,         20
290, 1513593941,         50
291, 1513593942,         13
292, 1513593943,       3233
293, 1513593944,         28
294, 1513593945,          9
295, 1513593946,         56
296, 1513593947,       2103
297, 1513593948,     183994
298, 1513593949,          4
299, 1513593950,         27
300, 1513593951,         15
301, 1513593952,         47
302, 1513593953,       2479
303, 1513593954,         43
304, 1513593955,       8884
305, 1513593956,         15
306, 1513593957,       1859
307, 1513593958,     164655
308, 1513593959,          6
309, 1513593960,         21
310, 1513593961,         15
311, 1513593962,         49
312, 1513593963,       3016
313, 1513593964,        266
314, 1513593965,         10
315, 1513593966,         17
316, 1513593967,       2321
317, 1513593968,     141279
318, 1513593969,       1300
319, 1513593970,         20
320, 1513593971,         11
321, 1513593972,         34
322, 1513593973,       2608
323, 1513593974,         10
324, 1513593975,         13
325, 1513593976,         12
326, 1513593977,       2226
327, 1513593978,     180363
328, 1513593979,          4
329, 1513593980,         19
330, 1513593981,         19
331, 1513593982,         13
332, 1513593983,       2235
333, 1513593984,         44
334, 1513593985,         15
335, 1513593986,         14
336, 1513593987,       1946
337, 1513593988,     220767
338, 1513593989,          4
339, 1513593990,         21
340, 1513593991,         13
341, 1513593992,         16
342, 1513593993,       2035
343, 1513593994,        619
344, 1513593995,         12
345, 1513593996,         14
346, 1513593997,       2201
347, 1513593998,     225213
348, 1513593999,         38
349, 1513594000,         19
350, 1513594001,         22
351, 1513594002,         13
352, 1513594003,       1889
353, 1513594004,       1600
354, 1513594005,         40
355, 1513594006,          7
356, 1513594007,       1989
357, 1513594008,     190495
358, 1513594009,         36
359, 1513594010,         16
360, 1513594011,         15
361, 1513594012,         15
362, 1513594013,       2078
363, 1513594014,        492
364, 1513594015,          8
365, 1513594016,         20
366, 1513594017,       1951
367, 1513594018,     246745
368, 1513594019,      10869
369, 1513594020,         40
370, 1513594021,         27
371, 1513594022,         13
372, 1513594023,       1474
373, 1513594024,        544
374, 1513594025,         49
375, 1513594026,         11
376, 1513594027,       1971
377, 1513594028,     226989
378, 1513594029,      52879
379, 1513594030,         38
380, 1513594031,         32
381, 1513594032,         12
382, 1513594033,       1248
383, 1513594034,        802
384, 1513594035,       9470
385, 1513594036,         10
386, 1513594037,       1898
387, 1513594038,     223582
388, 1513594039,          2
389, 1513594040,         13
390, 1513594041,         51
391, 1513594042,          9
392, 1513594043,       2260
393, 1513594044,        738
394, 1513594045,       9646
395, 1513594046,         43
396, 1513594047,       1724
397, 1513594048,     226971
398, 1513594049,          5
399, 1513594050,         19
400, 1513594051,         49
401, 1513594052,         16
402, 1513594053,       2183
403, 1513594054,       1112
404, 1513594055,         26
405, 1513594056,         49
406, 1513594057,       1923
407, 1513594058,     274622
408, 1513594059,       3087
409, 1513594060,         16
410, 1513594061,         24
411, 1513594062,         46
412, 1513594063,       1128
413, 1513594064,       1649
414, 1513594065,          9
415, 1513594066,         14
416, 1513594067,       2094
417, 1513594068,     191294
418, 1513594069,          9
419, 1513594070,         13
420, 1513594071,         18
421, 1513594072,         49
422, 1513594073,       2704
423, 1513594074,        533
424, 1513594075,         11
425, 1513594076,         18
426, 1513594077,       2036
427, 1513594078,      68526
428, 1513594079,          1
429, 1513594080,         23
430, 1513594081,         42
431, 1513594082,        968
432, 1513594083,        699
433, 1513594084,          9
434, 1513594085,         14
435, 1513594086,       1893
436, 1513594087,     215784
437, 1513594088,      12822
438, 1513594089,          6
439, 1513594090,         26
440, 1513594091,         13
441, 1513594092,       1968
442, 1513594093,         51
443, 1513594094,         12
444, 1513594095,         18
445, 1513594096,       1766
446, 1513594097,     177206
447, 1513594098,      17224
448, 1513594099,         11
449, 1513594100,          4
450, 1513594101,         11
451, 1513594102,      13521
452, 1513594103,     198657
453, 1513594104,         36
454, 1513594105,         50
455, 1513594106,         10
456, 1513594107,       2006
457, 1513594108,       1877
458, 1513594109,         10
459, 1513594110,         13
460, 1513594111,      24618
