2017-12-18 18:55:08  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (21 < min 30)
2017-12-18 18:55:08  /entrypoint.sh: static: does not generate the admin key, so we can not get it.
2017-12-18 18:55:08  /entrypoint.sh: static: make it available with the help of your configuration management system.
2017-12-18 18:55:08  /entrypoint.sh: static: ceph-ansible is a good candidate to deploy a containerized version of Ceph.
2017-12-18 18:55:08  /entrypoint.sh: static: ceph-ansible will help you fetching the keys and push them on the right nodes.
2017-12-18 18:55:08  /entrypoint.sh: static: if you're interested, please visit: https://github.com/ceph/ceph-ansible
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-12-18 18:55:11  /entrypoint.sh: SUCCESS
2017-12-18 18:55:11.099497 7f17f12f3300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-12-18 18:55:11.099517 7f17f12f3300  0 ceph version 9.0.0-18997-g8adf01b (8adf01b98af39502aa7fe3d10c4b19935508eaa7), process ceph-mds, pid 236
starting mds.node-4 at -
2017-12-18 18:55:11.100591 7f17f12f3300  0 pidfile_write: ignore empty --pid-file
2017-12-18 18:55:15.233606 7f17e9cef700  0 mds.0.cache creating system inode with ino:1
2017-12-18 18:55:15.233905 7f17e9cef700  0 mds.0.cache creating system inode with ino:100
2017-12-18 18:55:15.233918 7f17e9cef700  0 mds.0.cache creating system inode with ino:600
2017-12-18 18:55:15.234095 7f17e9cef700  0 mds.0.cache creating system inode with ino:601
2017-12-18 18:55:15.234221 7f17e9cef700  0 mds.0.cache creating system inode with ino:602
2017-12-18 18:55:15.234487 7f17e9cef700  0 mds.0.cache creating system inode with ino:603
2017-12-18 18:55:15.234597 7f17e9cef700  0 mds.0.cache creating system inode with ino:604
2017-12-18 18:55:15.234727 7f17e9cef700  0 mds.0.cache creating system inode with ino:605
2017-12-18 18:55:15.234827 7f17e9cef700  0 mds.0.cache creating system inode with ino:606
2017-12-18 18:55:15.234929 7f17e9cef700  0 mds.0.cache creating system inode with ino:607
2017-12-18 18:55:15.235035 7f17e9cef700  0 mds.0.cache creating system inode with ino:608
2017-12-18 18:55:15.235167 7f17e9cef700  0 mds.0.cache creating system inode with ino:609
2017-12-18 19:01:46.570858 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f1866e85800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:02:01.576087 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f1866c6a000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:02:16.577037 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f17fad41000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:02:31.592490 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f17fafde000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:02:46.601282 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f186bc2b800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:03:01.610404 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f1866e85800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:03:16.615454 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f1866c6a000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:03:31.631045 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f17fafde000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:03:46.643553 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f17fad41000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 19:04:01.652640 7f17ec471700  0 -- 10.10.1.5:6800/1163333437 >> - conn(0x7f186bc2b800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
